PSTRANA,NAZEV_STRP,ZKRATKAP30,ZKRATKAP8
76,Československá strana socialistická,Českosl.strana socialistická,ČSS
77,Česká pravice,Česká pravice,ČP
79,NE Bruselu - Národní demokracie,NE Bruselu - Nár. demokracie,ND
83,Moravané,Moravané,Moravané
86,Iniciativa občanů,Iniciativa občanů,IO
88,NEZÁVISLÍ,NEZÁVISLÍ,NEZ
93,Komunistická strana Československa,Komunistická str.Českosloven.,KSČ
98,Volte Pravý Blok www.cibulka.net,Volte Pr.Blok www.cibulka.net,PB
99,Bez politické příslušnosti,Bez politické příslušnosti,BEZPP
100,Humanistická strana,Humanistická strana,HS
101,Strana venkova - spojené občanské síly,Str.venkova-spoj.občan.síly,SV SOS
103,Strana pro otevřenou společnost,Str.pro otevřenou společnost,SOS
109,Zlínské hnutí nezávislých,Zlínské hnutí nezávislých,ZHN
110,Demokratická regionální strana,Demokratická regionální strana,DRS
111,Pravá volba pro Plzeň,Pravá volba pro Plzeň,PVP
112,HNUTÍ NEZÁVISLÝCH ZA HARMONICKÝ ROZVOJ OBCÍ A MĚST,HN.ZA HARM.ROZVOJ OBCÍ A MĚST,HNHRM
113,Volba pro město,Volba pro město,VPM
114,Hnutí pro Havířov,Hnutí pro Havířov,HPH
115,Nezávislé sdružení občanů Blanska,Nezáv.sdruž.občanů Blanska,NSOB
119,Unie pro sport a zdraví,Unie pro sport a zdraví,USZ
121,NÁRODNÍ PROSPERITA,NÁRODNÍ PROSPERITA,NP
123,České hnutí za národní jednotu,České hnutí za národní jednotu,ČHNJ
125,Unie pro Evropu,Unie pro Evropu,UPE
129,SNK Evropští demokraté,SNK Evropští demokraté,SNK ED
132,Aktiv nezávislých občanů,Aktiv nezávislých občanů,ANEO
136,Tábor 2020,Tábor 2020,T2020
137,Strana zdravého rozumu,Strana zdravého rozumu,Rozumní
140,Balbínova poetická strana,Balbínova poetická strana,BPS
141,Konzervativní a sociální hnutí,Konzervativní a sociální hnutí,KSH
142,Strana Zdraví Sportu Prosperity,Str.Zdraví Sportu Prosperity,SZSP
143,Spojení demokraté - Sdružení nezávislých,Spojení demokraté-Sdruž.nezáv.,SD-SN
144,Věci veřejné,Věci veřejné,VV
145,"""Jirkov 21.století""","""Jirkov 21.století""",J 21 S
146,Nezávislí pro Prahu,Nezávislí pro Prahu,NPP
147,MĚSTO LIDEM,MĚSTO LIDEM,ML
148,"""SONOB-sdružení ochrany nájemníků a ostat.bydlení""","""SONOB-sdruž.ochr.nájemníků""",SONOB
151,Helax-Ostrava se baví,Helax-Ostrava se baví,HOB
154,Všeobecná občanská strana,Všeobecná občanská strana,VOS
155,DOMOV,DOMOV,DOMOV
156,Dělnická strana sociální spravedlnosti,Dělnic.str.sociální spravedl.,DSSS
158,"""Sdružení nestraníků""","""Sdružení nestraníků""",SN
159,Strana práce,Strana práce,SP
160,"""Viktor Kožený - Občanská federální demokracie""","""V.Kožený-Občan.feder.demokr.""","""OFD"""
161,Svobodná občanská samospráva,Svobodná občanská samospráva,SvOS
163,NEZÁVISLÁ VOLBA,NEZÁVISLÁ VOLBA,NV
164,Evropská strana důstojného stáří,Evropská str.důstojného stáří,ESDS
166,STAROSTOVÉ A NEZÁVISLÍ,STAROSTOVÉ A NEZÁVISLÍ,STAN
167,Fair play - HNPD,Fair play - HNPD,HNPD
169,Folklor i Společnost,Folklor i Společnost,FiS
170,Romská demokratická sociální strana,Romská demokrat.sociální str.,RDSS
172,NEZÁVISLÍ DEMOKRATÉ,NEZÁVISLÍ DEMOKRATÉ,NEZ/DEM
174,Hnutí pro Těšín,Hnutí pro Těšín,HpT
175,Česká strana národně socialistická,Česká str.národ.socialistická,ČSNS2005
176,Strana občanské sebeobrany,Strana občanské sebeobrany,S.O.S.PRAHA
177,Zelení,Zelení,"""Z"""
178,4 VIZE - www.4vize.cz,4 vize - www.4vize.cz,4 VIZE
179,Sedma-strana pro obec Slatiňany a její osady,Sedma-str.pro obec Slatiňany,Sedma
181,Nestraníci,Nestraníci,Nestran.
182,Karlovarská občanská alternativa,Karlovar.občanská alternativa,KOA
183,Alternativa pro občany,Alternativa pro občany,AO
184,Hnutí LEPŠÍ ŘEPY,Hnutí LEPŠÍ ŘEPY,HLŘ
188,SEMILÁCI,SEMILÁCI,PSS
190,Mimoňská obroda,Mimoňská obroda,OHMO
192,HLAVU VZHŮRU - volební blok,HLAVU VZHŮRU - volební blok,HLAVU VZHŮRU
193,Volba pro Mladou Boleslav,Volba pro Mladou Boleslav,VpMB
194,ZVON,ZVON,PHZ
195,Hnutí pro Prahu 11,Hnutí pro Prahu 11,HPP 11
197,NESPOKOJENÍ OBČANÉ!,NESPOKOJENÍ OBČANÉ!,NO!
199,Klíčové hnutí,Klíčové hnutí,KH
200,Demokracie,Demokracie,DK
701,Doktoři (za uzdravení společnosti),Doktoři (za uzdravení společ.),Doktoři
702,ALTERNATIVA,ALTERNATIVA,ALTERNATIVA
703,Starostové pro Liberecký kraj,Starostové pro Liberecký kraj,SLK
704,Severočeši.cz,Severočeši.cz,S.cz
708,Strana pro ekologii a zdraví,Strana pro ekologii a zdraví,SEZ
710,Liga spořádaných lidí,Liga spořádaných lidí,LSL
711,Lidé a Politika,Lidé a Politika,LAP
714,Strana svobodných občanů,Strana svobodných občanů,Svobodní
715,Demokratická strana zelených,Demokratická strana zelených,DSZ
716,Strana soukromníků České republiky,Strana soukromníků ČR,SsČR
717,ČESKÝ POLITICKÝ STŘED,ČESKÝ POLITICKÝ STŘED,ČPST
718,OBČANÉ.CZ,OBČANÉ.CZ,Občané
719,Hnutí Za Telefonování Zdarma,Hnutí Za Telefonování Zdarma,HZTZ.CZ
720,Česká pirátská strana,Česká pirátská strana,Piráti
721,TOP 09,TOP 09,TOP 09
724,Strana Práv Občanů,Strana Práv Občanů,SPO
725,Victoria.cz,Victoria.cz,Victoria
726,Nový Impuls,Nový Impuls,NI
727,VOLBA PRO KLADNO,VOLBA PRO KLADNO,VPK
728,Pro Třebíč,Pro Třebíč,ProTR
729,POLITIKA TRADIČNÍCH HODNOT,POLITIKA TRADIČNÍCH HODNOT,PTH
730,Nová budoucnost,Nová budoucnost,NB
731,Ženy za Brod,Ženy za Brod,ŽB
732,NÁŠ HLUČÍN,NÁŠ HLUČÍN,NH
733,"""Volím Orlovou""","""Volím Orlovou""","""VO"""
734,"""Občané městu, město občanům""","""Občané městu, město občanům""",OMMO
735,Nezávislí pro Bílinu,Nezávislí pro Bílinu,N-BÍLINA
736,"REPUBLIKÁNSKÁ STRANA ČECH, MORAVY A SLEZSKA","REPUBL.STR.ČECH,MORAVY A SLEZ.",RSČMS
737,ČESKÁ NEZÁVISLÁ,ČESKÁ NEZÁVISLÁ,"""ČNEZ"""
738,Jundrováci,Jundrováci,Jundrováci
739,Královopolští patrioti,Královopolští patrioti,KPP
740,Strana demokratické obnovy,Strana demokratické obnovy,SDeO
741,Hnutí nezávislých za všestranný rozvoj Slatiny,Hn.nez.za všestr.rozv.Slatiny,HNVRS
742,Strakonická Veřejnost,Strakonická Veřejnost,SV
743,Hnutí O co jim jde?!,Hnutí O co jim jde?!,OCJJ
744,Pražané za svá práva,Pražané za svá práva,PP
745,Bílinští sociální demokraté,Bílinští sociální demokraté,BSD
746,OSMA - občané svému městu,OSMA - občané svému městu,OSMA
747,B10.cz,B10.cz,B10.cz
749,Konzervativní aliance 2014,Konzervativní aliance 2014,KA14
750,Desítka pro domácí,Desítka pro domácí,DPD
751,VLASTENECKÁ STRANA,VLASTENECKÁ STRANA,VS
752,Zdravé Hradiště,Zdravé Hradiště,ZH
753,"""Občané pro Budějovice""","""Občané pro Budějovice""","""HOPB"""
754,Občanské hnutí pro Mimoň,Občanské hnutí pro Mimoň,OHM
755,Ostravak,Ostravak,Ostravak
756,Česká strana regionů,Česká strana regionů,ČSR
757,Sdružení nezávislých Holešovska,Sdruž.nezávislých Holešovska,SNH
758,Naše Beskydy,Naše Beskydy,NBeskydy
759,Česká Suverenita,Česká Suverenita,ČS
760,Lidové fórum,Lidové fórum,LF
761,Strana pro Evropu,Strana pro Evropu,SPE
762,OBČANÉ 2011,OBČANÉ 2011,OBČANÉ 2011
763,Strana Globální Odpovědnosti,Strana Globální Odpovědnosti,SGO
764,LEV 21 - Národní socialisté,LEV 21-Národní socialisté,LEV 21
765,Strana přátel časop.MAXIM za maxim.svobodu projevu,Strana přátel časopisu MAXIM,"""MAXIM"""
766,"""JIHOČEŠI 2012""","""JIHOČEŠI 2012""","""JIH 12"""
767,Strana rovných příležitostí,Strana rovných příležitostí,SRP
768,ANO 2011,ANO 2011,ANO 2011
769,VIZE 2014,VIZE 2014,VIZE
770,VÝCHODOČEŠI,VÝCHODOČEŠI,VČ
771,politické hnutí Změna,politické hnutí Změna,Změna
772,HOZK - HNUTÍ ODBORNÍKŮ ZA KRAJE,HOZK-HNUTÍ ODBORNÍKŮ ZA KRAJE,HOZK
773,Středočeši2012.cz,Středočeši2012.cz,S2012
774,PRO,PRO,PRO
775,ZVUK 12,ZVUK 12,ZVUK 12
776,PATRIOTI,PATRIOTI,PATRIOTI
777,Strana Češi,Strana Češi,Češi
778,za Morální Očistu Regionu,za Morální Očistu Regionu,M.O.R.
779,Starostové pro občany,Starostové pro občany,STO
780,Nová budoucnost pro Liberecký kraj,Nová budoucn.pro Liberecký kr.,NBPLK
781,Volba lidu 21.století,Volba lidu 21.století,VL21
782,Hnutí FAIR PLAY,Hnutí FAIR PLAY,FairPlay
783,Česká strana selského rozumu,Česká strana selského rozumu,Čssr
784,Zemští Demokraté,Zemští Demokraté,ZEDEM
785,PRO Sport a Zdraví,PRO Sport a Zdraví,PSZ
786,Občanská sounáležitost,Občanská sounáležitost,OS
787,Sdružení nezávislých občanů Prahy 13,Sdruž.nezáv.občanů Prahy 13,SNOP13
788,Občané České republiky,Občané České republiky,OČR
789,Strana důchodců Františka Burdy,Strana důchodců Frant.Burdy,SDFB
790,Pardubice pro lidi,Pardubice pro lidi,PPL
791,Pro Prahu,Pro Prahu,HPP
792,Úsvit přímé demokracie,Úsvit přímé demokracie,Úsvit
793,Nový směr,Nový směr,NOS
794,Romská demokratická strana,Romská demokratická strana,RDS
795,Liberálně ekologická strana,Liberálně ekologická strana,LES
796,Ústečané,Ústečané,Ú
797,Zlín 21,Zlín 21,Z21
799,Naše Město F-M,Naše Město F-M,NMFM
1001,ANTIBURSÍK - STOP EKOTERORU !,ANTIBURSÍK - STOP EKOTERORU !,ABS
1002,Republika,Republika,Republika
1003,Alternativa pro Plzeň,Alternativa pro Plzeň,APPlzeň.cz
1004,Patrioti - Volba pro Prahu,Patrioti - Volba pro Prahu,VPP
1005,evropani.cz,evropani.cz,evropani
1006,Občanská konzervativní strana,Občanská konzervativní strana,O.K. strana
1007,Hnutí dobrých proměn,Hnutí dobrých proměn,HDP
1008,Pražané.cz,Pražané.cz,Pražané
1009,Jižní Město - náš domov,Jižní Město - náš domov,JM-ND
1010,HNUTÍ SOCIÁLNĚ SLABÝCH,HNUTÍ SOCIÁLNĚ SLABÝCH,HSS
1011,Toryové,Toryové,TOR
1012,ÚSTECKÉ FÓRUM OBČANŮ,ÚSTECKÉ FÓRUM OBČANŮ,UFO
1013,Politické hnutí OBRODA,Politické hnutí OBRODA,Obroda
1014,Občané pro Lochotín,Občané pro Lochotín,OPL
1015,Občanské hnutí Můj domov,Občanské hnutí Můj domov,Můj domov
1016,"HRADEČTÍ PATRIOTI strana pro sport,zdraví,kulturu",HRADEČTÍ PATRIOTI,HRAD.PATRIOTI
1017,NOVÝ SEVER,NOVÝ SEVER,NS
1018,Politické Hnutí Vítkovice,Politické Hnutí Vítkovice,PHV
1019,SPOLU,SPOLU,SPOLU
1020,Pévéčko,Pévéčko,PV
1021,Čisté Ústí,Čisté Ústí,ČÚNL
1022,Občané patrioti,Občané patrioti,OPAT
1023,PATRIOT 2014,PATRIOT 2014,PATRIOT 2014
1024,Otevřená radnice,Otevřená radnice,Hora 2014
1025,Ta naše Třebíč,Ta naše Třebíč,TnT
1026,"""Žít Brno""","""Žít Brno""",ŽTB
1027,Ostravské fórum,Ostravské fórum,OF
1028,Karlovaráci,Karlovaráci,KVC
1029,Frýdečané a Místečané,Frýdečané a Místečané,FraM
1030,Podpora občanů,Podpora občanů,Podpora
1031,Sdružení občanů Lesné,Sdružení občanů Lesné,SOL
1032,Mladoboleslavské hnutí nezávislých,Mladoboleslavské hnutí nezáv.,MBN
1033,Plzeň pro sport,Plzeň pro sport,PPS
1034,Spravedlivá občanská společnost,Spravedlivá občanská společ.,SPOS
1035,SMĚR - česká cesta,SMĚR - česká cesta,SMĚR - CS
1036,Město pro vás,Město pro vás,MPV
1037,Karviňáci s Adámkem,Karviňáci s Adámkem,Karviňáci
1038,Kozí alternativa,Kozí alternativa,KOZY
1039,ProOlomouc,ProOlomouc,ProOl
1040,JIŘÍ STROBACH - náš starosta,JIŘÍ STROBACH - náš starosta,JSNS
1041,Společ. proti develop. výstavbě v Prokop. údolí,Společ.proti výst.v Prok.údolí,SPDV
1042,"""Hnutí Praha-Kunratice""","""Hnutí Praha-Kunratice""","""HPK"""
1043,NEZÁVISLÍ PRO PRAHU 10 - HNUTÍ PRO LEPŠÍ DESÍTKU,NEZ.PRO P10-HNUTÍ PRO LEPŠÍ 10,NPP10-HPLD
1044,"""Hradecký demokratický klub""","""Hradecký demokratický klub""","""HDK"""
1045,Veřejné zájmy,Veřejné zájmy,VZ
1046,OBČANÉ SPOLU - NEZÁVISLÍ,OBČANÉ SPOLU - NEZÁVISLÍ,"""OSN"""
1047,SPOLEHNUTÍ - SPOLEČNÉ HNUTÍ ČESKOLIPANŮ,SPOLEHNUTÍ-SPOL.HN.ČESKOLIPANŮ,SPOLEHNUTÍ
1048,TŘINÁCTKA,TŘINÁCTKA,"""13tka"""
1049,Hradecký demokratický klub,Hradecký demokratický klub,HDK
1051,RESTART,RESTART,RESTART
1052,RESTART 2014,RESTART 2014,R2014
1053,Volyně v dolyně,Volyně v dolyně,VvD
1055,Šance pro Duchcov,Šance pro Duchcov,ŠpD
1056,Hnutí občanů Prahy,Hnutí občanů Prahy,HOP
1061,DOMA,DOMA,DOMA
1062,Pro regiony občanům,Pro regiony občanům,Hnutí PROČ
1063,Moderní společnost,Moderní společnost,MODES
1064,"Solidarita, Vlast a Zákon","Solidarita, Vlast a Zákon",SVAZ
1065,PROZMĚNU,PROZMĚNU,PZ
